,date,open,close,high,low,volume,amount
0,2000-01-04,17.5,18.29,18.55,17.2,82160,147324992.0
1,2000-01-05,18.35,18.06,18.85,18.0,93993,173475008.0
2,2000-01-06,18.02,18.78,19.05,17.75,120222,221192000.0
3,2000-01-07,19.0,19.54,19.77,18.9,229346,443592000.0
4,2000-01-10,19.79,20.14,20.48,19.77,185210,372294016.0
5,2000-01-11,20.15,19.0,20.2,18.8,126663,245867008.0
6,2000-01-12,19.0,18.24,19.2,18.13,91752,169418000.0
7,2000-01-13,18.2,18.14,18.4,17.9,50058,90723000.0
8,2000-01-14,18.14,17.88,18.39,17.75,55972,100267000.0
9,2000-01-17,17.9,18.08,18.1,17.5,34501,61534000.0
10,2000-01-18,18.0,17.69,18.08,17.58,46563,82818000.0
11,2000-01-19,17.5,17.79,17.85,17.5,37811,67007000.0
12,2000-01-20,17.8,17.81,17.9,17.55,58437,103508000.0
13,2000-01-21,17.8,17.96,18.26,17.66,86262,154067008.0
14,2000-01-24,17.91,17.5,17.95,17.2,112516,196243008.0
15,2000-01-25,17.5,17.72,18.29,17.5,83718,149259008.0
16,2000-01-26,17.72,17.64,17.88,17.5,47723,83862000.0
17,2000-01-27,17.65,17.89,18.17,17.55,73569,131076000.0
18,2000-01-28,18.0,18.53,18.58,17.66,167366,305519008.0
19,2000-02-14,19.2,20.37,20.38,18.7,233709,460704992.0
20,2000-02-15,20.5,19.44,21.01,19.1,350732,703966016.0
21,2000-02-16,19.3,18.83,19.3,18.56,215392,404820000.0
22,2000-02-17,18.83,18.8,19.69,18.23,358841,677313024.0
23,2000-02-18,18.79,18.41,18.79,18.15,139293,255056992.0
24,2000-02-21,18.41,18.91,19.5,18.0,237916,446412000.0
25,2000-02-22,19.0,18.25,19.25,18.2,124888,232056000.0
26,2000-02-23,18.2,18.1,18.58,18.0,88176,160031008.0
27,2000-02-24,18.05,18.18,18.3,18.0,63338,114762000.0
28,2000-02-25,18.18,18.09,18.2,18.0,97624,176012992.0
29,2000-02-28,18.1,18.56,18.78,17.8,154358,279276000.0
30,2000-02-29,18.6,18.32,18.99,18.05,143895,264902000.0
31,2000-03-01,18.4,18.81,19.5,18.15,302414,571840000.0
32,2000-03-02,18.7,18.36,18.76,18.2,118860,218828000.0
33,2000-03-03,18.41,18.58,18.9,18.37,120727,225128000.0
34,2000-03-06,18.8,18.24,19.4,18.2,180097,339648000.0
35,2000-03-07,18.0,19.03,19.3,18.0,277554,521233984.0
36,2000-03-08,19.07,18.72,19.19,18.51,108354,202976992.0
37,2000-03-09,18.77,20.07,20.59,18.46,780590,1544929024.0
38,2000-03-10,19.98,19.04,19.98,18.99,287432,560296000.0
39,2000-03-13,19.0,19.13,19.6,18.9,112334,215746000.0
40,2000-03-14,18.89,18.59,18.98,18.3,172199,318663008.0
41,2000-03-15,18.5,18.44,18.9,18.3,73010,134828000.0
42,2000-03-16,18.36,17.92,18.36,17.83,168057,303393984.0
43,2000-03-17,17.8,18.17,18.32,17.78,88670,160128992.0
44,2000-03-20,17.9,18.22,18.37,17.68,75644,137068000.0
45,2000-03-21,18.22,18.26,18.39,18.0,69673,126477000.0
46,2000-03-22,18.26,18.48,18.65,18.15,73829,135504992.0
47,2000-03-23,18.5,18.61,18.72,18.26,82300,152316992.0
48,2000-03-24,19.11,18.5,19.48,18.46,117626,223136000.0
49,2000-03-27,18.5,18.79,18.84,18.4,98717,183487008.0
50,2000-03-28,18.89,18.69,19.0,18.6,93154,174864992.0
51,2000-03-29,18.8,18.49,18.88,18.33,76414,141508000.0
52,2000-03-30,18.45,18.57,18.7,18.38,73107,135296992.0
53,2000-03-31,18.57,18.37,18.6,18.31,71787,131989000.0
54,2000-04-03,18.38,18.28,18.5,18.2,61355,112469000.0
55,2000-04-04,18.28,18.11,18.34,18.05,63563,115426000.0
56,2000-04-05,18.1,18.35,18.67,18.05,58978,107869000.0
57,2000-04-06,18.4,18.48,18.5,18.25,52444,96256000.0
58,2000-04-07,18.58,18.9,19.2,18.41,221066,418217984.0
59,2000-04-10,19.01,18.82,19.3,18.7,105058,199596000.0
60,2000-04-11,18.85,18.9,19.3,18.7,100332,190863008.0
61,2000-04-12,19.0,19.1,19.5,18.9,157649,302648992.0
62,2000-04-13,19.15,19.13,19.25,18.9,95699,182244000.0
63,2000-04-14,19.15,19.49,20.0,19.15,317630,622422016.0
64,2000-04-17,19.52,19.21,20.02,18.95,212811,415862016.0
65,2000-04-18,19.24,19.09,19.45,18.97,75959,145108992.0
66,2000-04-19,19.51,19.15,19.68,19.1,68779,133048000.0
67,2000-04-20,19.18,19.02,19.33,18.9,92860,176624992.0
68,2000-04-21,19.02,18.81,19.1,18.78,37235,70556385.0
69,2000-04-24,18.81,18.57,18.94,18.5,61721,115057000.0
70,2000-04-25,18.58,18.69,18.92,18.57,40296,75276000.0
71,2000-04-26,18.8,19.13,19.8,18.65,102232,196202000.0
72,2000-04-27,19.3,18.76,19.4,18.71,48162,91328000.0
73,2000-04-28,18.74,19.05,19.2,18.65,69124,130823000.0
74,2000-05-08,19.12,18.8,19.18,18.74,43998,82869000.0
75,2000-05-09,18.8,18.37,18.9,18.2,58130,107205000.0
76,2000-05-10,18.33,18.14,18.4,18.03,51816,93915000.0
77,2000-05-11,18.11,17.99,18.39,17.95,52101,94298000.0
78,2000-05-12,18.0,18.02,18.17,17.82,46386,83417000.0
79,2000-05-15,18.01,17.5,18.05,17.48,42799,75823000.0
80,2000-05-16,17.5,17.74,17.84,17.5,28772,50852000.0
81,2000-05-17,17.73,17.65,17.94,17.5,31219,55064000.0
82,2000-05-18,17.65,17.83,17.85,17.5,31972,56475000.0
83,2000-05-19,17.88,17.91,18.2,17.8,41384,74248000.0
84,2000-05-22,17.95,18.08,18.29,17.91,56730,102295000.0
85,2000-05-23,18.08,18.16,18.2,17.68,54321,97403000.0
86,2000-05-24,18.16,18.07,18.25,17.96,56906,102758000.0
87,2000-05-25,18.1,18.64,18.99,18.1,122278,228292000.0
88,2000-05-26,18.8,18.32,18.89,18.3,58532,108164000.0
